TCode,Name_E,Name_G,BID
0213,Niali  (0213),Niali  (0213),13
0190,Narasinghpur (0190),Narasinghpur (0190),20
0195,Tigiria (0195),Tigiria (0195),21
0194,Banki  (0194),Banki  (0194),22
0468,Malkangiri (0468),Malkangiri (0468),24
0325,ASIKA (0325),ASIKA (0325),25
0336,PURUSOTTAMPUR,PURUSOTTAMPUR,25
0332,CHHATRAPUR ,CHHATRAPUR ,25
0450,Dasamantapur (0450),Dasamantapur (0450),26
0348,Adva(0348),Adva(0348),27
0349,Mohana,Mohana,27
0338,PATAPUR ,PATAPUR ,260
0028,Kochinda P.S.(0028),Kochinda P.S.(0028),43
0040,Jujomura P.S.(0040),Jujomura P.S.(0040),44
0043,Rairakhol P.S.(0043),Rairakhol P.S.(0043),45
0142,Rupsa P.S. (0142),Rupsa P.S. (0142),79
0136,Jaleswar P.S. (0136),Jaleswar P.S. (0136),80
0155,Baleshwar (M) P.S.(0155),Baleshwar (M) P.S.(0155),81
0039,Kisinda P.S.(0039),Kisinda P.S.(0039),82
0044,Naktideul P.S.,Naktideul P.S.,82
0447,Kotpad (0447),Kotpad (0447),85
0353,Parlakhemundi,Parlakhemundi,131
0200,Choudwar (0200),Choudwar (0200),133
0246,Palalahada (0246),Palalahada (0246),146
0357,Ramagiri,Ramagiri,102
0396,Saintala (0396),Saintala (0396),134
0256,Banarpal (0256),Banarpal (0256),135
0212,Olatapur ,Olatapur ,86
0357,Ramagiri,Ramagiri,121
0356,Garabandha,Garabandha,121
0378,Baudh Sadar (0378),Baudh Sadar (0378),136
0258,Anugul (0258),Anugul (0258),137
0380,Harbhanga  (0380),Harbhanga  (0380),138
0047,Barkot P.S.(0047),Barkot P.S.(0047),139
0264,Athmallik (0264),Athmallik (0264),140
0206,Kishannagar P.S. ,Kishannagar P.S. ,89
0375,Kantamal(0375),Kantamal(0375),141
0047,Barkot P.S.(0047),Barkot P.S.(0047),142
0263,Kishorenagar (0263),Kishorenagar (0263),144
0049,Reamal P.S.(P)(0049),Reamal P.S.(P)(0049),145
0261,Chhendipada  (0261),Chhendipada  (0261),146
0048,Kundheigola P.S.,Kundheigola P.S.,145
0011,Bargarh(0011),Bargarh(0011),147
0157,Bant P.S. (0157),Bant P.S. (0157),148
0160,Bhadrak Rural P.S. (0160),Bhadrak Rural P.S. (0160),149
0380,Harbhanga  (0380),Harbhanga  (0380),150
0161,Basudebpur P.S. (0161),Basudebpur P.S. (0161),151
0252,Talcher Sadar (0252),Talcher Sadar (0252),152
0046,Debagarh P.S.(0046),Debagarh P.S.(0046),153
0158,Bhandari Pokhari P.S. (0158),Bhandari Pokhari P.S. (0158),154
0165,Chandabali P.S. (0165),Chandabali P.S. (0165),155
0379,Puruna Katak ,Puruna Katak ,150
0376,Manamunda ,Manamunda ,141
0159,Dhamanagar P.S.(0159),Dhamanagar P.S.(0159),156
0240,Motunga (0240),Motunga (0240),157
0196,Athagad  ,Athagad  ,91
0163,Tihidi P.S.(0163),Tihidi P.S.(0163),158
0252,Talcher Sadar (0252),Talcher Sadar (0252),159
0162,Naikanidihi P.S. ,Naikanidihi P.S. ,151
0198,Gurudijhatia ,Gurudijhatia ,91
0234,Kamakshyanagar (0234),Kamakshyanagar (0234),160
0156,Agarpada P.S. ,Agarpada P.S. ,148
0166,Bansada P.S. ,Bansada P.S. ,155
0167,Dhamara Marine P.S.(New),Dhamara Marine P.S.(New),155
0249,Kaniha(0249),Kaniha(0249),161
0475,Kalimela (0475),Kalimela (0475),389
0395,Belpara (0395),Belpara (0395),163
0190,Narasinghpur ,Narasinghpur ,104
0233,Parajang (0233),Parajang (0233),164
0203,Salepur (0203),Salepur (0203),112
0237,Gandia (0237),Gandia (0237),166
0400,Titlagarh (0400),Titlagarh (0400),167
0236,Bhuban (0236),Bhuban (0236),169
0389,Loisinga (0389),Loisinga (0389),170
0203,Salepur ,Salepur ,122
0400,Titlagarh (0400),Titlagarh (0400),171
0205,Nemalo ,Nemalo ,122
0268,Bantala (0268),Bantala (0268),172
0399,Sindhekela (0399),Sindhekela (0399),173
0014,Ambabhona(0014),Ambabhona(0014),174
0013,Bhatli(0013),Bhatli(0013),175
