TCode,Name_E,Name_G,BID
0009,NAGARUNTARI(0009),NAGARUNTARI(0009),47
0052,MOHANPUR(0052),MOHANPUR(0052),19
0059,SARATH(0059),SARATH(0059),20
0055,DEVIPUR(0055),DEVIPUR(0055),21
0056,MADHUPUR(0056),MADHUPUR(0056),23
0015,GARHWA(0015),GARHWA(0015),44
0088,BAGHMARA-CUM-KATRAS,BAGHMARA-CUM-KATRAS,24
0180,JAMA,JAMA,34
0173,JARMUNDI,JARMUNDI,35
0181,MASALIA,MASALIA,36
0178,RANISHWAR,RANISHWAR,37
0174,RAMGARH,RAMGARH,38
0172,SARAIYAHAT,SARAIYAHAT,39
0177,SHIKARIPARA,SHIKARIPARA,40
0019,BHANDARIA,BHANDARIA,41
0002,BHAWNATHPUR,BHAWNATHPUR,42
0010,DHURKI,DHURKI,43
0005,MAJHIAON,MAJHIAON,45
0014,MERAL (PIPRA KALAN),MERAL (PIPRA KALAN),46
0224,SIMDEGA(0224),SIMDEGA(0224),210
0017,RANKA,RANKA,48
0047,BAGODAR,BAGODAR,49
0043,BENGABAD,BENGABAD,50
0038,GAWAN,GAWAN,58
0045,GIRIDIH,GIRIDIH,59
0213,GHAGHRA,GHAGHRA,76
0223,PALKOT,PALKOT,77
0222,RAIDIH,RAIDIH,78
0214,SISAI,SISAI,79
0156,BARKATHA,BARKATHA,80
0158,BISHUNGARH,BISHUNGARH,81
0150,CHAUPARAN,CHAUPARAN,82
0164,CHURCHU,CHURCHU,83
0153,ICHAK,ICHAK,84
0160,KATKAMSANDI,KATKAMSANDI,85
0162,KEREDARI,KEREDARI,86
0184,JAMTARA,JAMTARA,87
0187,KUNDHIT,KUNDHIT,88
0185,NALA,NALA,89
0182,NARAYANPUR,NARAYANPUR,90
0035,JAINAGAR,JAINAGAR,97
0033,KODARMA,KODARMA,98
0037,MARKACHO,MARKACHO,99
0032,SATGAWAN,SATGAWAN,100
0146,BALUMATH,BALUMATH,101
0147,BARIYATU,BARIYATU,102
0149,CHANDWA,CHANDWA,104
0144,GARU,GARU,105
0145,LATEHAR,LATEHAR,106
0141,MANIKA,MANIKA,108
0109,BHANDRA,BHANDRA,109
0103,KISKO,KISKO,110
0105,KURU,KURU,111
0107,LOHARDAGA,LOHARDAGA,112
0080,AMRAPARA,AMRAPARA,113
0081,HIRANPUR,HIRANPUR,114
0079,LITIPARA,LITIPARA,115
0083,MAHESHPUR,MAHESHPUR,116
0082,PAKAUR(0082),PAKAUR(0082),117
0084,PAKURIA,PAKURIA,118
0140,CHAINPUR,CHAINPUR,119
0140,CHAINPUR,CHAINPUR,120
0126,CHHATARPUR,CHHATARPUR,121
0122,HAIDERNAGAR*,HAIDERNAGAR*,122
0121,HUSSAINABAD,HUSSAINABAD,123
0134,MANATU,MANATU,124
0132,PATAN,PATAN,125
0136,PANKI,PANKI,126
0236,BANDGAON,BANDGAON,127
0237,CHAKRADHARPUR,CHAKRADHARPUR,128
0239,GOILKERA,GOILKERA,129
0239,GOILKERA,GOILKERA,130
0249,JAGANNATHPUR,JAGANNATHPUR,131
0249,JAGANNATHPUR,JAGANNATHPUR,132
0248,JHINKPANI,JHINKPANI,133
0250,KUMARDUNGI,KUMARDUNGI,134
0238,KHUNTPANI,KHUNTPANI,135
0251,MAJHGAON,MAJHGAON,136
0247,MANJHARI,MANJHARI,137
0234,SONUA(0234),SONUA(0234),138
0246,TANTNAGAR(0246),TANTNAGAR(0246),139
0243,TONTO(0243),TONTO(0243),140
0120,BAHARAGORA(0120),BAHARAGORA(0120),141
0119,CHAKULIA(0119),CHAKULIA(0119),142
0117,DHALBHUMGARH(0117),DHALBHUMGARH(0117),143
0116,DUMARIA(0116),DUMARIA(0116),144
0113,GHATSHILA(0113),GHATSHILA(0113),145
0112,GOLMURI-CUM-JUGSALAI(0112),GOLMURI-CUM-JUGSALAI(0112),146
0115,MUSABANI(0115),MUSABANI(0115),147
0110,PATAMDA(0110),PATAMDA(0110),148
0050,PIRTANR(0050),PIRTANR(0050),188
0171,GOLA(0171),GOLA(0171),150
0167,MANDU(0167),MANDU(0167),151
0166,PATRATU(0166),PATRATU(0166),152
0168,RAMGARH(0168),RAMGARH(0168),153
0194,SILLI(0194),SILLI(0194),162
0195,SONAHATU(0195),SONAHATU(0195),163
0205,TAMAR I(0205),TAMAR I(0205),164
0073,BARHAIT(0073),BARHAIT(0073),165
0078,BARHARWA(0078),BARHARWA(0078),166
