BID,Name_E,Name_G,HQ,DCode,TCode,MDDS_Code
1,North Block,North Block,,2,0004,
2,North West Block,,,1,0001,
3,West Block,,,7,0019,
4,Central Block,Central Block,,6,0018,
5,New Delhi Block,New Delhi Block,,5,0015,
6,East Block,,,4,0012,
7,South Block,,,9,0025,
8,North East Block,,,3,0007,
10,South West Block,,,8,0022,
11,South East Block,,,11,0037,
12,Shahdara Block,,,10,0008,
